Step,Path1,Path2,Path3,Path4,Path5,Barrier,Strike
0,90,90,90,90,90,120,100
1,89.4322,87.5426,89.3923,90.5783,89.558,120,100
2,87.8803,85.8761,90.1711,88.83,89.1386,120,100
3,88.0426,86.6034,92.5432,90.5982,88.8926,120,100
4,88.3117,85.2674,91.6939,91.2317,89.7397,120,100
5,86.3833,84.3875,92.4586,90.4871,89.6701,120,100
6,86.3734,86.4275,92.4254,90.3084,89.2459,120,100
7,87.1518,85.6802,93.1888,90.3835,88.7947,120,100
8,86.1326,86.2231,91.6925,91.4833,87.31,120,100
9,86.3102,84.6799,91.3372,90.1307,87.8832,120,100
10,88.0072,84.6702,91.2225,90.7376,87.7293,120,100
11,87.1661,85.8296,90.1806,89.8923,87.715,120,100
12,88.3539,85.0553,89.4689,89.837,87.7694,120,100
13,88.1744,86.4422,89.4653,89.3925,87.3969,120,100
14,87.8939,86.7599,90.1197,86.6967,87.3555,120,100
15,86.0485,85.5535,89.7317,88.382,86.9293,120,100
16,87.0881,85.3158,89.7,87.6034,86.5732,120,100
17,88.6661,85.1059,89.9957,87.1038,87.0507,120,100
18,90.1416,85.6481,89.5391,85.6136,88.2214,120,100
19,88.7875,85.1791,87.9232,85.5812,88.7431,120,100
20,89.6387,84.8887,88.5188,85.4801,86.9869,120,100
21,89.4824,86.0441,89.4563,84.9952,85.9728,120,100
22,87.9473,86.432,89.2748,88.1654,88.2559,120,100
23,86.2038,86.8352,90.3364,86.591,87.2655,120,100
24,85.0699,87.1647,88.9732,85.5889,86.7228,120,100
25,86.5304,87.9602,89.2561,85.1512,86.5974,120,100
26,85.3697,90.4038,88.9401,84.2888,84.519,120,100
27,85.6973,90.0102,87.7716,84.9399,84.4489,120,100
28,84.2164,89.3763,89.0897,84.7919,85.3957,120,100
29,85.1515,91.3795,87.5954,85.7313,84.6742,120,100
30,83.1964,91.3858,86.1485,86.1358,84.6549,120,100
31,81.495,89.6846,85.2541,88.0115,85.1657,120,100
32,81.4205,89.1708,88.09,87.9534,85.4948,120,100
33,81.3641,88.5739,86.4323,89.9075,86.0396,120,100
34,82.8695,89.0389,85.785,90.2681,83.2841,120,100
35,83.2848,88.0248,85.7077,89.7484,83.8582,120,100
36,83.8668,88.0643,82.8528,89.7833,84.909,120,100
37,82.8293,88.9449,81.8205,90.4223,86.3008,120,100
38,82.6976,89.2863,82.5067,90.5139,85.7172,120,100
39,82.682,91.5601,83.5597,92.593,86.4885,120,100
40,80.8937,90.9858,84.271,91.0678,87.0904,120,100
41,81.4683,90.469,83.3984,91.1003,86.0568,120,100
42,79.8119,90.8583,83.2508,93.4986,87.3486,120,100
43,79.4158,91.0115,83.3091,92.1416,86.2936,120,100
44,79.1308,90.3809,82.5316,92.5089,86.7406,120,100
45,80.8974,89.694,80.3267,92.1341,86.5049,120,100
46,80.1611,90.0085,80.4912,94.0218,86.4268,120,100
47,79.9713,89.5366,79.7361,96.151,86.5656,120,100
48,79.2215,88.0588,78.5128,94.991,86.3235,120,100
49,79.8391,86.9485,78.9479,94.0264,84.8733,120,100
